,name,planet_mass,stellar_magnitude,planet_type,planet_radius,eccentricity
0,11 Comae Berenices b,19.4 Jupiters,4.74,Gas Giant,1.08 x Jupiter,0.23
1,11 Ursae Minoris b,14.74 Jupiters,5.016,Gas Giant,1.09 x Jupiter,0.08
2,14 Andromedae b,4.8 Jupiters,5.227,Gas Giant,1.15 x Jupiter,0
3,14 Herculis b,4.66 Jupiters,6.61,Gas Giant,1.15 x Jupiter,0.37
4,16 Cygni B b,1.78 Jupiters,6.25,Gas Giant,1.2 x Jupiter,0.68
5,18 Delphini b,10.3 Jupiters,5.506,Gas Giant,1.11 x Jupiter,0.08
6,1RXS J160929.1-210524 b,8 Jupiters,12.057,Gas Giant,1.664 x Jupiter,0
7,24 Bootis b,0.91 Jupiters,5.58,Gas Giant,1.24 x Jupiter,0.04
8,24 Sextantis b,1.99 Jupiters,6.441,Gas Giant,1.19 x Jupiter,0.09
9,24 Sextantis c,0.86 Jupiters,6.441,Gas Giant,1.24 x Jupiter,0.29
10,2MASS J01033563-5515561 AB b,13 Jupiters,,Gas Giant,1.1 x Jupiter,0
11,2MASS J01225093-2439505 b,24.5 Jupiters,14.24,Gas Giant,1.0 x Jupiter,0
12,2MASS J02192210-3925225 b,13.9 Jupiters,15.012,Gas Giant,1.44 x Jupiter,0
13,2MASS J04414489+2301513 b,7.5 Jupiters,18.967,Gas Giant,1.13 x Jupiter,0
14,2MASS J12073346-3932539 b,4 Jupiters,20.15,Gas Giant,1.16 x Jupiter,0
15,2MASS J19383260+4603591 b,1.9 Jupiters,12.138,Gas Giant,1.2 x Jupiter,0
16,2MASS J21402931+1625183 A b,20.95 Jupiters,17.396,Gas Giant,0.92 x Jupiter,0.26
17,2MASS J22362452+4751425 b,12.5 Jupiters,12.51,Gas Giant,1.1 x Jupiter,0
18,30 Arietis B b,13.82 Jupiters,6.962,Gas Giant,1.1 x Jupiter,0.29
19,42 Draconis b,3.88 Jupiters,4.82,Gas Giant,1.16 x Jupiter,0.38
20,47 Ursae Majoris b,2.53 Jupiters,5.05,Gas Giant,1.18 x Jupiter,0.03
21,47 Ursae Majoris c,0.54 Jupiters,5.05,Gas Giant,1.27 x Jupiter,0.1
22,47 Ursae Majoris d,1.64 Jupiters,5.05,Gas Giant,1.2 x Jupiter,0.16
23,4 Ursae Majoris b,7.1 Jupiters,4.61,Gas Giant,1.13 x Jupiter,0.43
24,51 Eridani b,2 Jupiters,5.23,Gas Giant,1.19 x Jupiter,0.45
25,51 Pegasi b,0.46 Jupiters,5.5,Gas Giant,1.27 x Jupiter,0.01
26,55 Cancri b,0.8306 Jupiters,5.96,Gas Giant,1.24 x Jupiter,0
27,55 Cancri c,0.1714 Jupiters,5.96,Gas Giant,0.76 x Jupiter,0.02
28,55 Cancri d,3.878 Jupiters,5.96,Gas Giant,1.16 x Jupiter,0.02
29,55 Cancri e,8.08 Earths,5.96,Super Earth,1.91 x Earth,0.03
30,55 Cancri f,0.141 Jupiters,5.96,Gas Giant,0.677 x Jupiter,0.31
31,61 Virginis b,5.1 Earths,4.74,Neptune-like,2.11 x Earth,0.12
32,61 Virginis c,18.2 Earths,4.74,Neptune-like,0.398 x Jupiter,0.14
33,61 Virginis d,22.9 Earths,4.74,Neptune-like,0.456 x Jupiter,0.35
34,6 Lyncis b,2.01 Jupiters,5.86,Gas Giant,1.19 x Jupiter,0.07
35,70 Virginis b,7.49 Jupiters,4.97,Gas Giant,1.13 x Jupiter,0.4
36,75 Ceti b,3 Jupiters,5.35,Gas Giant,1.17 x Jupiter,0.12
37,7 Canis Majoris b,1.85 Jupiters,3.92,Gas Giant,1.2 x Jupiter,0.06
38,7 Canis Majoris c,0.87 Jupiters,3.92,Gas Giant,1.24 x Jupiter,0.08
39,81 Ceti b,5.3 Jupiters,5.65,Gas Giant,1.14 x Jupiter,0.21
40,8 Ursae Minoris b,1.31 Jupiters,6.83,Gas Giant,1.22 x Jupiter,0.06
41,91 Aquarii b,3.2 Jupiters,4.25,Gas Giant,1.17 x Jupiter,0.03
42,AB Pictoris b,13.5 Jupiters,9.128,Gas Giant,1.1 x Jupiter,0
43,Alpha Arietis b,1.8 Jupiters,2.0,Gas Giant,1.2 x Jupiter,0.25
44,Alpha Tauri b,6.47 Jupiters,0.85,Gas Giant,1.13 x Jupiter,0.1
45,AU Microscopii b,0.18 Jupiters,8.81,Gas Giant,0.375 x Jupiter,0.1
46,BD+03 2562 b,6.4 Jupiters,9.58,Gas Giant,1.13 x Jupiter,0.2
47,BD-06 1339 b,8.5 Earths,9.7,Neptune-like,0.254 x Jupiter,0
48,BD-06 1339 c,0.17 Jupiters,9.7,Gas Giant,0.747 x Jupiter,0.31
49,BD-08 2823 b,12.7132 Earths,9.88,Neptune-like,0.322 x Jupiter,0.15
50,BD-08 2823 c,0.33 Jupiters,9.88,Gas Giant,1.11 x Jupiter,0.19
51,BD-10 3166 b,0.59 Jupiters,10.08,Gas Giant,1.26 x Jupiter,0.02
52,BD-11 4672 b,0.65 Jupiters,9.99,Gas Giant,1.25 x Jupiter,0.05
53,BD-11 4672 c,15.37 Earths,9.99,Neptune-like,0.36 x Jupiter,0.4
54,BD-13 2130 b,9.78 Jupiters,9.45,Gas Giant,1.11 x Jupiter,0.21
55,BD+14 4559 b,1.04 Jupiters,9.63,Gas Giant,1.23 x Jupiter,0.29
56,BD+15 2375 b,1.061 Jupiters,10.31,Gas Giant,1.23 x Jupiter,0
57,BD+15 2940 b,1.11 Jupiters,9.046,Gas Giant,1.23 x Jupiter,0.26
58,BD-17 63 b,5.1 Jupiters,9.566,Gas Giant,1.15 x Jupiter,0.54
59,BD+20 2457 b,55.59 Jupiters,9.75,Gas Giant,1.03 x Jupiter,0.15
60,BD+20 2457 c,12.47 Jupiters,9.75,Gas Giant,1.1 x Jupiter,0.18
61,BD+20 274 b,4.2 Jupiters,9.36,Gas Giant,1.16 x Jupiter,0.21
62,BD+20 594 b,22.2481 Earths,11.038,Neptune-like,0.23 x Jupiter,0
63,BD+48 738 b,0.91 Jupiters,9.14,Gas Giant,1.24 x Jupiter,0.2
64,BD+48 740 b,1.7 Jupiters,8.699,Gas Giant,1.2 x Jupiter,0.76
65,BD+49 828 b,1.6 Jupiters,9.38,Gas Giant,1.21 x Jupiter,0.35
66,Beta Cancri b,7.8 Jupiters,3.53,Gas Giant,1.12 x Jupiter,0.08
67,Beta Pictoris b,11 Jupiters,3.85,Gas Giant,1.65 x Jupiter,0.08
68,Beta Pictoris c,9 Jupiters,3.85,Gas Giant,1.12 x Jupiter,0.24
69,Beta Ursae Minoris b,6.1 Jupiters,2.08,Gas Giant,1.14 x Jupiter,0.19
70,CFBDSIR J145829+101343 b,10.5 Jupiters,,Gas Giant,1.11 x Jupiter,0
71,CHXR 73 b,12.569 Jupiters,17.293,Gas Giant,1.1 x Jupiter,0
72,CI Tauri b,11.6 Jupiters,12.939,Gas Giant,1.11 x Jupiter,0.25
73,CoRoT-10 b,2.75 Jupiters,15.22,Gas Giant,0.97 x Jupiter,0.53
74,CoRoT-11 b,2.33 Jupiters,12.939,Gas Giant,1.43 x Jupiter,0
75,CoRoT-12 b,0.917 Jupiters,15.515,Gas Giant,1.44 x Jupiter,0.07
76,CoRoT-13 b,1.308 Jupiters,15.039,Gas Giant,0.885 x Jupiter,0
77,CoRoT-14 b,7.6 Jupiters,16.033,Gas Giant,1.09 x Jupiter,0
78,CoRoT-16 b,0.535 Jupiters,15.63,Gas Giant,1.17 x Jupiter,0.33
79,CoRoT-17 b,2.43 Jupiters,15.46,Gas Giant,1.02 x Jupiter,0
80,CoRoT-18 b,3.47 Jupiters,15.0,Gas Giant,1.31 x Jupiter,< 0.08
81,CoRoT-19 b,1.11 Jupiters,14.007,Gas Giant,1.29 x Jupiter,0.05
82,CoRoT-1 b,1.03 Jupiters,13.6,Gas Giant,1.49 x Jupiter,0
83,CoRoT-20 b,4.3 Jupiters,14.66,Gas Giant,0.84 x Jupiter,0.59
84,CoRoT-20 c,17 Jupiters,14.66,Gas Giant,1.09 x Jupiter,0.6
85,CoRoT-21 b,2.26 Jupiters,16.0,Gas Giant,1.3 x Jupiter,0
86,CoRoT-22 b,12.2 Earths,13.944,Neptune-like,0.435 x Jupiter,0.08
87,CoRoT-23 b,2.8 Jupiters,15.63,Gas Giant,1.05 x Jupiter,0.16
88,CoRoT-24 b,5.7 Earths,15.18,Neptune-like,0.33 x Jupiter,0
89,CoRoT-24 c,28 Earths,15.18,Neptune-like,0.44 x Jupiter,0
90,CoRoT-25 b,0.27 Jupiters,14.711,Gas Giant,1.08 x Jupiter,0
91,CoRoT-26 b,0.52 Jupiters,15.468,Gas Giant,1.26 x Jupiter,0
92,CoRoT-27 b,10.39 Jupiters,15.54,Gas Giant,1.007 x Jupiter,< 0.065
93,CoRoT-28 b,0.484 Jupiters,13.412,Gas Giant,0.955 x Jupiter,0.05
94,CoRoT-29 b,0.85 Jupiters,15.239,Gas Giant,0.9 x Jupiter,0.08
95,CoRoT-2 b,3.47 Jupiters,12.57,Gas Giant,1.466 x Jupiter,0.01
96,CoRoT-30 b,2.9 Jupiters,15.65,Gas Giant,1.009 x Jupiter,0.01
97,CoRoT-31 b,0.84 Jupiters,15.465,Gas Giant,1.46 x Jupiter,0.02
98,CoRoT-3 b,21.66 Jupiters,13.292,Gas Giant,1.01 x Jupiter,0
99,CoRoT-4 b,0.72 Jupiters,13.561,Gas Giant,1.19 x Jupiter,0
100,CoRoT-5 b,0.467 Jupiters,13.902,Gas Giant,1.388 x Jupiter,0.09
101,CoRoT-6 b,2.96 Jupiters,13.912,Gas Giant,1.166 x Jupiter,< 0.1
102,CoRoT-7 b,3.1783 Earths,11.668,Super Earth,1.681 x Earth,0
103,CoRoT-7 c,8.4 Earths,11.668,Neptune-like,0.253 x Jupiter,0
104,CoRoT-8 b,0.22 Jupiters,14.8,Gas Giant,0.57 x Jupiter,0
105,CoRoT-9 b,0.84 Jupiters,13.69,Gas Giant,1.066 x Jupiter,0.13
106,CoRoTID 223977153 b,0.15 Jupiters,13.587,Gas Giant,0.57 x Jupiter,0
107,CT Chamaleontis b,17 Jupiters,11.773,Gas Giant,2.2 x Jupiter,0
108,DE Canun Venaticorum b,12.0293 Jupiters,11.975,Gas Giant,1.1 x Jupiter,0
109,DENIS-P J082303.1-491201 b,28.5 Jupiters,18.558,Gas Giant,1.06 x Jupiter,0.35
110,DH Tauri b,11 Jupiters,12.496,Gas Giant,2.7 x Jupiter,0
111,DMPP-1 b,24.27 Earths,7.981,Neptune-like,0.472 x Jupiter,< 0.083
112,DMPP-1 c,9.6 Earths,7.981,Neptune-like,0.273 x Jupiter,< 0.057
113,DMPP-1 d,3.35 Earths,7.981,Super Earth,1.65 x Earth,< 0.07
114,DMPP-1 e,4.13 Earths,7.981,Super Earth,1.86 x Earth,< 0.07
115,DMPP-2 b,0.437 Jupiters,8.567,Gas Giant,1.28 x Jupiter,0.08
116,DMPP-3 A b,2.58 Earths,9.066,Super Earth,1.41 x Earth,0.14
117,DP Leonis b,6.28 Jupiters,18.633,Gas Giant,1.14 x Jupiter,0.39
118,DS Tucanae A b,1.3 Jupiters,8.469,Neptune-like,0.509 x Jupiter,0
119,EPIC 201238110 b,4.16 Earths,15.261,Super Earth,1.87 x Earth,0
120,EPIC 201497682 b,0.26 Earths,14.102,Terrestrial,0.692 x Earth,0
121,EPIC 201615463 c,1.98 Earths,12.074,Super Earth,1.22 x Earth,0
122,EPIC 201754305 d,1.08 Earths,14.67,Super Earth,1.03 x Earth,0
123,EPIC 201833600 c,0.972 Earths,14.717,Terrestrial,1.0 x Earth,0
124,EPIC 201841433 b,1.37 Earths,14.867,Super Earth,1.1 x Earth,0
125,EPIC 205950854 c,2.27 Earths,12.291,Super Earth,1.31 x Earth,0
126,EPIC 206024342 b,3.53 Earths,13.116,Super Earth,1.7 x Earth,0
127,EPIC 206032309 b,1.01 Earths,16.069,Super Earth,1.01 x Earth,0
128,EPIC 206042996 b,3.26 Earths,16.743,Super Earth,1.62 x Earth,0
129,EPIC 206215704 b,0.666 Earths,16.172,Terrestrial,0.9 x Earth,0
130,EPIC 206317286 b,0.84 Earths,14.051,Terrestrial,0.96 x Earth,0
131,EPIC 211822797 b,4.58 Earths,15.256,Super Earth,1.98 x Earth,0.06
132,EPIC 211945201 b,27 Earths,10.154,Neptune-like,0.514 x Jupiter,0
133,EPIC 212297394 b,2.31 Earths,14.423,Super Earth,1.323 x Earth,0
134,EPIC 212424622 b,5.35 Earths,13.354,Neptune-like,2.17 x Earth,0
135,EPIC 212499991 b,3.19 Earths,13.552,Super Earth,1.6 x Earth,0
136,EPIC 212587672 b,1.46 Earths,12.487,Super Earth,1.12 x Earth,0
137,EPIC 212737443 b,7.2 Earths,14.836,Neptune-like,0.231 x Jupiter,0.2
138,EPIC 212737443 c,7.7 Earths,14.836,Neptune-like,0.24 x Jupiter,0.2
139,EPIC 220554210 c,2.79 Earths,14.042,Super Earth,1.48 x Earth,0
140,EPIC 220674823 b,7.72 Earths,12.102,Super Earth,1.82 x Earth,0
141,EPIC 220674823 c,5.8 Earths,12.102,Neptune-like,0.244 x Jupiter,0.18
142,EPIC 246851721 b,3 Jupiters,11.439,Gas Giant,1.051 x Jupiter,0
143,EPIC 248847494 b,13 Jupiters,12.416,Gas Giant,1.11 x Jupiter,0
144,EPIC 249893012 b,8.75 Earths,11.428,Super Earth,1.95 x Earth,0.06
145,EPIC 249893012 c,14.67 Earths,11.428,Neptune-like,0.327 x Jupiter,0.07
146,EPIC 249893012 d,10.18 Earths,11.428,Neptune-like,0.352 x Jupiter,0.15
147,Epsilon Coronae Borealis b,6.7 Jupiters,4.15,Gas Giant,1.13 x Jupiter,0.11
148,Epsilon Eridani b,0.78 Jupiters,3.82,Gas Giant,1.24 x Jupiter,0.07
149,Epsilon Indi A b,3.25 Jupiters,4.69,Gas Giant,1.17 x Jupiter,0.26
150,Epsilon Tauri b,7.6 Jupiters,3.54,Gas Giant,1.13 x Jupiter,0.15
151,FU Tauri b,16 Jupiters,20.48,Gas Giant,1.09 x Jupiter,0
152,G 9-40 b,4.76 Earths,13.823,Super Earth,2.025 x Earth,0
153,Gamma 1 Leonis b,8.78 Jupiters,1.98,Gas Giant,1.12 x Jupiter,0.14
154,Gamma Cephei b,1.85 Jupiters,3.21,Gas Giant,1.2 x Jupiter,0.05
155,Gamma Librae b,1.02 Jupiters,3.91,Gas Giant,1.23 x Jupiter,0.21
156,Gamma Librae c,4.58 Jupiters,3.91,Gas Giant,1.15 x Jupiter,0.06
157,GJ 1061 b,1.37 Earths,13.06,Super Earth,1.1 x Earth,< 0.31
158,GJ 1061 c,1.74 Earths,13.06,Super Earth,1.18 x Earth,< 0.29
159,GJ 1061 d,1.64 Earths,13.06,Super Earth,1.16 x Earth,< 0.53
160,GJ 1132 b,1.66 Earths,13.49,Super Earth,1.13 x Earth,0.22
161,GJ 1132 c,2.64 Earths,13.49,Super Earth,1.43 x Earth,< 0.27
162,GJ 1148 b,0.30425 Jupiters,11.92,Gas Giant,1.07 x Jupiter,0.38
163,GJ 1148 c,0.21414 Jupiters,11.92,Gas Giant,0.866 x Jupiter,0.34
164,GJ 1214 b,6.26125 Earths,15.1,Neptune-like,0.254 x Jupiter,0
165,GJ 1252 b,2.09 Earths,12.193,Super Earth,1.193 x Earth,0
166,GJ 1265 b,7.4 Earths,13.57,Neptune-like,0.234 x Jupiter,0.04
167,GJ 143 b,22.7 Earths,7.87,Neptune-like,0.233 x Jupiter,0.19
168,GJ 15 A b,3.03 Earths,8.08,Super Earth,1.55 x Earth,0.09
169,GJ 15 A c,36 Earths,8.08,Neptune-like,0.595 x Jupiter,0.27
170,GJ 160.2 b,10.2 Earths,9.68,Neptune-like,0.283 x Jupiter,0.06
171,GJ 163 b,10.6 Earths,11.81,Neptune-like,0.29 x Jupiter,0.07
172,GJ 163 c,6.8 Earths,11.81,Neptune-like,0.223 x Jupiter,0.1
173,GJ 163 d,29.4 Earths,11.81,Neptune-like,0.528 x Jupiter,0.37
174,GJ 179 b,0.82 Jupiters,12.0,Gas Giant,1.24 x Jupiter,0.21
175,GJ 180 b,6.49 Earths,10.91,Neptune-like,0.217 x Jupiter,0.07
176,GJ 180 c,6.4 Earths,10.91,Neptune-like,0.215 x Jupiter,0.09
177,GJ 180 d,7.56 Earths,10.91,Neptune-like,0.237 x Jupiter,0.14
178,GJ 2056 b,16.2 Earths,10.37,Neptune-like,0.372 x Jupiter,0.72
179,GJ 229 A c,7.268 Earths,8.14,Neptune-like,0.232 x Jupiter,0.19
180,GJ 229 b,8.478 Earths,8.14,Neptune-like,0.254 x Jupiter,0.1
181,GJ 27.1 b,13 Earths,11.42,Neptune-like,0.327 x Jupiter,0.08
182,GJ 273 b,2.89 Earths,9.872,Super Earth,1.51 x Earth,0.1
183,GJ 273 c,1.18 Earths,9.872,Super Earth,1.06 x Earth,0.17
184,GJ 3021 b,3.37 Jupiters,6.59,Gas Giant,1.17 x Jupiter,0.51
185,GJ 3082 b,8.2 Earths,11.077,Neptune-like,0.249 x Jupiter,0.22
186,GJ 3138 b,1.78 Earths,10.98,Super Earth,1.18 x Earth,0.19
187,GJ 3138 c,4.18 Earths,10.98,Super Earth,1.88 x Earth,0.11
188,GJ 3138 d,10.5 Earths,10.98,Neptune-like,0.288 x Jupiter,0.32
189,GJ 317 b,2.5 Jupiters,11.97,Gas Giant,1.18 x Jupiter,0.07
190,GJ 317 c,1.64396 Jupiters,11.97,Gas Giant,1.2 x Jupiter,0.17
191,GJ 328 b,2.3 Jupiters,9.97,Gas Giant,1.19 x Jupiter,0.37
192,GJ 3293 b,23.54 Earths,11.962,Neptune-like,0.463 x Jupiter,0.06
193,GJ 3293 c,21.09 Earths,11.962,Neptune-like,0.434 x Jupiter,0.11
194,GJ 3293 d,7.6 Earths,11.962,Neptune-like,0.238 x Jupiter,0.12
195,GJ 3293 e,3.28 Earths,11.962,Super Earth,1.63 x Earth,0.21
196,GJ 3323 b,2.02 Earths,12.22,Super Earth,1.23 x Earth,0.23
197,GJ 3323 c,2.31 Earths,12.22,Super Earth,1.32 x Earth,0.17
198,GJ 3341 b,6.6 Earths,12.08,Neptune-like,0.219 x Jupiter,0.31
199,GJ 338 B b,10.27 Earths,7.7,Neptune-like,0.284 x Jupiter,0.11
200,GJ 3470 b,13.9 Earths,12.33,Neptune-like,0.408 x Jupiter,0.02
201,GJ 3512 b,0.463 Jupiters,15.05,Gas Giant,1.27 x Jupiter,0.44
202,GJ 357 b,1.84 Earths,10.92,Super Earth,1.217 x Earth,0
203,GJ 357 c,3.4 Earths,10.92,Super Earth,1.66 x Earth,0
204,GJ 357 d,6.1 Earths,10.92,Neptune-like,0.209 x Jupiter,0
205,GJ 3634 b,8.4 Earths,11.93,Neptune-like,0.253 x Jupiter,0.08
206,GJ 3779 b,8 Earths,12.96,Neptune-like,0.245 x Jupiter,0.07
207,GJ 3942 b,7.14 Earths,10.25,Neptune-like,0.229 x Jupiter,0.12
208,GJ 3998 b,2.47 Earths,10.83,Super Earth,1.38 x Earth,0
209,GJ 3998 c,6.26 Earths,10.83,Neptune-like,0.212 x Jupiter,0.05
210,GJ 411 b,2.99 Earths,7.49,Super Earth,1.54 x Earth,0.22
211,GJ 422 b,11.07 Earths,11.55,Neptune-like,0.297 x Jupiter,0.11
212,GJ 4276 b,16.57 Earths,11.66,Neptune-like,0.377 x Jupiter,0.37
213,GJ 433 b,6.043 Earths,9.806,Neptune-like,0.208 x Jupiter,0.04
214,GJ 433 c,32.422 Earths,9.806,Neptune-like,0.56 x Jupiter,0.12
215,GJ 433 d,5.223 Earths,9.806,Neptune-like,2.14 x Earth,0.07
216,GJ 436 b,22.1 Earths,10.67,Neptune-like,0.372 x Jupiter,0.14
217,GJ 480 b,13.2 Earths,11.51,Neptune-like,0.33 x Jupiter,0.1
218,GJ 504 b,4 Jupiters,5.22,Gas Giant,1.16 x Jupiter,0
219,GJ 536 b,5.36 Earths,9.72,Neptune-like,2.17 x Earth,0.08
220,GJ 581 b,15.8 Earths,10.56,Neptune-like,0.366 x Jupiter,0
221,GJ 581 c,5.5 Earths,10.56,Neptune-like,2.21 x Earth,0
222,GJ 581 e,1.7 Earths,10.56,Super Earth,1.17 x Earth,0
223,GJ 625 b,2.82 Earths,10.1,Super Earth,1.49 x Earth,0.13
224,GJ 649 b,0.328 Jupiters,9.69,Gas Giant,1.11 x Jupiter,0.3
225,GJ 667 C b,5.6 Earths,10.22,Neptune-like,2.23 x Earth,0.13
226,GJ 667 C c,3.8 Earths,10.22,Super Earth,1.77 x Earth,0.02
227,GJ 667 C e,2.7 Earths,10.22,Super Earth,1.45 x Earth,0.02
228,GJ 667 C f,2.7 Earths,10.22,Super Earth,1.45 x Earth,0.03
229,GJ 667 C g,4.6 Earths,10.22,Super Earth,1.99 x Earth,0.08
230,GJ 674 b,11.09 Earths,9.37,Neptune-like,0.297 x Jupiter,0.2
231,GJ 676 A b,6.7 Jupiters,9.58,Gas Giant,1.13 x Jupiter,0.33
232,GJ 676 A c,6.8 Jupiters,9.58,Gas Giant,1.13 x Jupiter,0
233,GJ 676 A d,4.4 Earths,9.58,Super Earth,1.93 x Earth,0.26
234,GJ 676 A e,8.1 Earths,9.58,Neptune-like,0.247 x Jupiter,0.13
235,GJ 682 b,4.4 Earths,10.97,Super Earth,1.93 x Earth,0.08
236,GJ 682 c,8.7 Earths,10.97,Neptune-like,0.258 x Jupiter,0.1
237,GJ 685 b,9 Earths,9.97,Neptune-like,0.263 x Jupiter,0
238,GJ 687 b,17.2 Earths,9.15,Neptune-like,0.385 x Jupiter,0.17
239,GJ 687 c,16 Earths,9.15,Neptune-like,0.369 x Jupiter,0.4
240,GJ 832 b,0.68 Jupiters,8.66,Gas Giant,1.25 x Jupiter,0.08
241,GJ 832 c,5.4 Earths,8.66,Neptune-like,2.18 x Earth,0.18
242,GJ 849 b,1 Jupiter,10.37,Gas Giant,1.23 x Jupiter,0.04
243,GJ 86 b,4.42 Jupiters,6.12,Gas Giant,1.15 x Jupiter,0.04
244,GJ 876 b,2.2756 Jupiters,10.191,Gas Giant,1.19 x Jupiter,0.03
245,GJ 876 c,0.7142 Jupiters,10.191,Gas Giant,1.25 x Jupiter,0.26
246,GJ 876 d,6.83 Earths,10.191,Neptune-like,0.224 x Jupiter,0.21
247,GJ 876 e,14.6 Earths,10.191,Neptune-like,0.35 x Jupiter,0.06
248,GJ 887 b,4.2 Earths,7.335,Super Earth,1.88 x Earth,0
249,GJ 887 c,7.6 Earths,7.335,Neptune-like,0.238 x Jupiter,0
250,GJ 9066 b,30.9 Earths,12.27,Neptune-like,0.544 x Jupiter,0.18
251,GJ 9066 c,0.22528 Jupiters,12.27,Gas Giant,0.892 x Jupiter,0.33
252,GJ 96 b,19.66 Earths,9.345,Neptune-like,0.417 x Jupiter,0.44
253,GJ 9827 b,4.91 Earths,10.25,Super Earth,1.577 x Earth,0
254,GJ 9827 c,0.84 Earths,10.25,Super Earth,1.241 x Earth,0
255,GJ 9827 d,4.04 Earths,10.25,Neptune-like,2.022 x Earth,0
256,Gl 378 b,13.02 Earths,10.19,Neptune-like,0.327 x Jupiter,0.11
257,Gl 49 b,5.63 Earths,9.56,Neptune-like,0.2 x Jupiter,0.36
258,Gl 686 b,6.64 Earths,9.577,Neptune-like,0.22 x Jupiter,0.08
259,GQ Lupi b,20 Jupiters,12.43,Gas Giant,3.0 x Jupiter,0
260,GSC 06214-00210 b,16 Jupiters,12.375,Gas Giant,1.8 x Jupiter,0
261,GU Piscium b,11.3 Jupiters,13.55,Gas Giant,1.265 x Jupiter,0
262,HAT-P-11 b,26.69772 Earths,9.151,Neptune-like,0.389 x Jupiter,0.22
263,HAT-P-11 c,2.3 Jupiters,9.151,Gas Giant,1.19 x Jupiter,0.6
264,HAT-P-12 b,0.211 Jupiters,12.84,Gas Giant,0.959 x Jupiter,0
265,HAT-P-13 b,0.851 Jupiters,10.622,Gas Giant,1.272 x Jupiter,0.01
266,HAT-P-13 c,14.28 Jupiters,10.622,Gas Giant,1.1 x Jupiter,0.66
267,HAT-P-14 b,3.44 Jupiters,9.98,Gas Giant,1.42 x Jupiter,0.11
268,HAT-P-15 b,1.94 Jupiters,12.16,Gas Giant,1.06 x Jupiter,0.19
269,HAT-P-16 b,4.193 Jupiters,10.812,Gas Giant,1.289 x Jupiter,0.04
270,HAT-P-17 b,0.58 Jupiters,10.54,Gas Giant,1.05 x Jupiter,0.35
271,HAT-P-17 c,3.4 Jupiters,10.54,Gas Giant,1.17 x Jupiter,0.39
272,HAT-P-18 b,0.197 Jupiters,12.759,Gas Giant,0.995 x Jupiter,0.08
273,HAT-P-19 b,0.292 Jupiters,12.901,Gas Giant,1.132 x Jupiter,0.07
274,HAT-P-1 b,0.525 Jupiters,10.34,Gas Giant,1.319 x Jupiter,0
275,HAT-P-20 b,7.246 Jupiters,11.339,Gas Giant,0.867 x Jupiter,0.02
276,HAT-P-21 b,4.87 Jupiters,11.685,Gas Giant,1.11 x Jupiter,0.23
277,HAT-P-22 b,2.47 Jupiters,9.732,Gas Giant,1.15 x Jupiter,0.02
278,HAT-P-23 b,1.34 Jupiters,12.432,Gas Giant,1.09 x Jupiter,0.11
279,HAT-P-24 b,0.75 Jupiters,11.818,Gas Giant,1.3 x Jupiter,0.07
280,HAT-P-25 b,0.569 Jupiters,13.19,Gas Giant,1.135 x Jupiter,0.02
281,HAT-P-26 b,22.2481 Earths,11.744,Neptune-like,0.63 x Jupiter,0.12
282,HAT-P-27 b,0.62 Jupiters,11.956,Gas Giant,1.02 x Jupiter,0
283,HAT-P-28 b,0.626 Jupiters,13.03,Gas Giant,1.212 x Jupiter,0.05
284,HAT-P-29 b,0.88 Jupiters,11.9,Gas Giant,1.17 x Jupiter,0.09
285,HAT-P-2 b,8.7 Jupiters,8.72,Gas Giant,0.951 x Jupiter,0.52
286,HAT-P-30 b,0.83 Jupiters,10.419,Gas Giant,1.44 x Jupiter,0.04
287,HAT-P-31 b,2.27 Jupiters,11.66,Gas Giant,1.09 x Jupiter,0.25
288,HAT-P-32 b,0.68 Jupiters,11.289,Gas Giant,1.98 x Jupiter,0.16
289,HAT-P-33 b,0.92 Jupiters,11.188,Gas Giant,1.85 x Jupiter,0
290,HAT-P-34 b,3.33 Jupiters,10.162,Gas Giant,1.197 x Jupiter,0.43
291,HAT-P-35 b,1.056 Jupiters,12.46,Gas Giant,1.332 x Jupiter,< 0.02
292,HAT-P-36 b,1.8482 Jupiters,12.262,Gas Giant,1.277 x Jupiter,0.06
293,HAT-P-37 b,1.169 Jupiters,13.23,Gas Giant,1.178 x Jupiter,0.06
294,HAT-P-38 b,0.267 Jupiters,12.557,Gas Giant,0.825 x Jupiter,0.07
295,HAT-P-39 b,0.599 Jupiters,12.422,Gas Giant,1.571 x Jupiter,0
296,HAT-P-3 b,0.65 Jupiters,11.577,Gas Giant,0.94 x Jupiter,0
297,HAT-P-40 b,0.48 Jupiters,11.699,Gas Giant,1.52 x Jupiter,0
298,HAT-P-41 b,1.19 Jupiters,11.087,Gas Giant,2.05 x Jupiter,0
299,HAT-P-42 b,1.044 Jupiters,12.168,Gas Giant,1.28 x Jupiter,0
300,HAT-P-43 b,0.662 Jupiters,13.356,Gas Giant,1.281 x Jupiter,0
301,HAT-P-44 b,0.352 Jupiters,12.973,Gas Giant,1.242 x Jupiter,0.04
302,HAT-P-44 c,4 Jupiters,12.973,Gas Giant,1.16 x Jupiter,0.49
303,HAT-P-45 b,0.892 Jupiters,12.398,Gas Giant,1.426 x Jupiter,0.05
304,HAT-P-46 b,0.493 Jupiters,11.684,Gas Giant,1.284 x Jupiter,0.12
305,HAT-P-49 b,2.2 Jupiters,10.326,Gas Giant,1.59 x Jupiter,0
